Total Cost,Total Sales,Total Tax,Total Transactions,ProductAlternateKey,ProductLine,ModelName
419.7784,769.49,61.5592,1,BK-M38S-38,M,Mountain-400-W
419.7784,769.49,61.5592,1,BK-M38S-40,M,Mountain-400-W
419.7784,769.49,61.5592,1,BK-M38S-42,M,Mountain-400-W
419.7784,769.49,61.5592,1,BK-M38S-46,M,Mountain-400-W
461.4448,742.35,59.388,1,BK-T18U-44,T,Touring-3000
461.4448,742.35,59.388,1,BK-T18U-50,T,Touring-3000
461.4448,742.35,59.388,1,BK-T18U-54,T,Touring-3000
461.4448,742.35,59.388,1,BK-T18U-58,T,Touring-3000
461.4448,742.35,59.388,1,BK-T18U-62,T,Touring-3000
461.4448,742.35,59.388,1,BK-T18Y-44,T,Touring-3000
461.4448,742.35,59.388,1,BK-T18Y-50,T,Touring-3000
461.4448,742.35,59.388,1,BK-T18Y-54,T,Touring-3000
461.4448,742.35,59.388,1,BK-T18Y-58,T,Touring-3000
461.4448,742.35,59.388,1,BK-T18Y-62,T,Touring-3000
755.1508,1214.85,97.188,1,BK-T44U-46,T,Touring-2000
755.1508,1214.85,97.188,1,BK-T44U-50,T,Touring-2000
755.1508,1214.85,97.188,1,BK-T44U-54,T,Touring-2000
755.1508,1214.85,97.188,1,BK-T44U-60,T,Touring-2000
899.8529,1482.0882,118.5671,2,BK-R50B-44,R,Road-650
899.8529,1482.0882,118.5671,2,BK-R50B-48,R,Road-650
899.8529,1482.0882,118.5671,2,BK-R50B-52,R,Road-650
899.8529,1482.0882,118.5671,2,BK-R50B-58,R,Road-650
899.8529,1482.0882,118.5671,2,BK-R50B-60,R,Road-650
899.8529,1482.0882,118.5671,2,BK-R50B-62,R,Road-650
899.8529,1482.0882,118.5671,2,BK-R50R-44,R,Road-650
899.8529,1482.0882,118.5671,2,BK-R50R-48,R,Road-650
899.8529,1482.0882,118.5671,2,BK-R50R-52,R,Road-650
899.8529,1482.0882,118.5671,2,BK-R50R-58,R,Road-650
899.8529,1482.0882,118.5671,2,BK-R50R-60,R,Road-650
899.8529,1482.0882,118.5671,2,BK-R50R-62,R,Road-650
1082.51,1700.99,136.0792,1,BK-R79Y-40,R,Road-350-W
1082.51,1700.99,136.0792,1,BK-R79Y-42,R,Road-350-W
1082.51,1700.99,136.0792,1,BK-R79Y-44,R,Road-350-W
1082.51,1700.99,136.0792,1,BK-R79Y-48,R,Road-350-W
1318.729,2120.9275,169.6742,2,BK-R64Y-38,R,Road-550-W
1318.729,2120.9275,169.6742,2,BK-R64Y-40,R,Road-550-W
1318.729,2120.9275,169.6742,2,BK-R64Y-42,R,Road-550-W
1318.729,2120.9275,169.6742,2,BK-R64Y-44,R,Road-550-W
1318.729,2120.9275,169.6742,2,BK-R64Y-48,R,Road-550-W
1481.9379,2384.07,190.7256,1,BK-T79U-46,T,Touring-1000
1481.9379,2384.07,190.7256,1,BK-T79U-50,T,Touring-1000
1481.9379,2384.07,190.7256,1,BK-T79U-54,T,Touring-1000
1481.9379,2384.07,190.7256,1,BK-T79U-60,T,Touring-1000
1481.9379,2384.07,190.7256,1,BK-T79Y-46,T,Touring-1000
1481.9379,2384.07,190.7256,1,BK-T79Y-50,T,Touring-1000
1481.9379,2384.07,190.7256,1,BK-T79Y-54,T,Touring-1000
1481.9379,2384.07,190.7256,1,BK-T79Y-60,T,Touring-1000
1518.7864,2443.35,195.468,1,BK-R89R-44,R,Road-250
1518.7864,2443.35,195.468,1,BK-R89R-48,R,Road-250
1518.7864,2443.35,195.468,1,BK-R89R-52,R,Road-250
1898.0944,3374.99,269.9992,1,BK-M82B-38,M,Mountain-100
1898.0944,3374.99,269.9992,1,BK-M82B-42,M,Mountain-100
1898.0944,3374.99,269.9992,1,BK-M82B-44,M,Mountain-100
1898.0944,3374.99,269.9992,1,BK-M82B-48,M,Mountain-100
1912.1544,3399.99,271.9992,1,BK-M82S-38,M,Mountain-100
1912.1544,3399.99,271.9992,1,BK-M82S-42,M,Mountain-100
1912.1544,3399.99,271.9992,1,BK-M82S-44,M,Mountain-100
1912.1544,3399.99,271.9992,1,BK-M82S-48,M,Mountain-100
2171.2942,3578.27,286.2616,1,BK-R93R-44,R,Road-150
2171.2942,3578.27,286.2616,1,BK-R93R-48,R,Road-150
2171.2942,3578.27,286.2616,1,BK-R93R-52,R,Road-150
2171.2942,3578.27,286.2616,1,BK-R93R-56,R,Road-150
2171.2942,3578.27,286.2616,1,BK-R93R-62,R,Road-150
2357.7913,4344.0882,347.5271,2,BK-M68B-38,M,Mountain-200
2357.7913,4344.0882,347.5271,2,BK-M68B-42,M,Mountain-200
2357.7913,4344.0882,347.5271,2,BK-M68B-46,M,Mountain-200
2383.4754,4391.4096,351.3128,2,BK-M68S-38,M,Mountain-200
2383.4754,4391.4096,351.3128,2,BK-M68S-42,M,Mountain-200
2383.4754,4391.4096,351.3128,2,BK-M68S-46,M,Mountain-200
2875.6317,4624.9125,369.993,2,BK-R89B-44,R,Road-250
2875.6317,4624.9125,369.993,2,BK-R89B-48,R,Road-250
2875.6317,4624.9125,369.993,2,BK-R89B-52,R,Road-250
2875.6317,4624.9125,369.993,2,BK-R89B-58,R,Road-250
2875.6317,4624.9125,369.993,2,BK-R89R-58,R,Road-250
